date,open,high,low,close,volume,open_interest,total_volume,total_open_interest
19990126,1233.98,1253.25,1233.98,1252.31,89640,0,89640,0
19990127,1252.31,1262.61,1242.82,1243.17,89380,0,89380,0
19990128,1243.17,1266.4,1243.17,1265.37,84880,0,84880,0
19990129,1265.37,1280.37,1255.18,1279.64,91700,0,91700,0
19990201,1279.64,1283.75,1271.31,1273,79940,0,79940,0
19990202,1273,1273.49,1247.56,1261.99,84550,0,84550,0
19990203,1261.99,1276.04,1255.27,1272.07,87650,0,87650,0
19990204,1272.07,1272.23,1248.36,1248.49,85440,0,85440,0
19990205,1248.49,1251.86,1232.28,1239.4,87200,0,87200,0
19990208,1239.4,1246.93,1231.98,1243.77,70540,0,70540,0
19990209,1243.77,1243.97,1215.63,1216.14,73600,0,73600,0
19990210,1216.14,1226.78,1211.89,1223.55,72140,0,72140,0
19990211,1223.55,1254.05,1223.19,1254.04,81580,0,81580,0
19990212,1254.04,1254.04,1225.53,1230.13,69150,0,69150,0
19990216,1230.13,1252.17,1230.13,1241.87,65376,0,65376,0
19990217,1241.87,1249.31,1220.92,1224.03,73510,0,73510,0
19990218,1224.03,1239.13,1220.7,1237.28,74240,0,74240,0
19990219,1237.28,1247.91,1232.03,1239.22,70000,0,70000,0
19990222,1239.22,1272.22,1239.22,1272.14,71850,0,71850,0
19990223,1272.14,1280.38,1263.36,1271.18,78110,0,78110,0
19990224,1271.18,1283.84,1251.94,1253.41,78200,0,78200,0
19990225,1253.41,1253.41,1225.01,1245.02,74050,0,74050,0
19990226,1245.02,1246.73,1226.24,1238.33,78460,0,78460,0
19990301,1238.33,1238.7,1221.88,1236.16,69950,0,69950,0
19990302,1236.16,1248.31,1221.87,1225.5,75360,0,75360,0
19990303,1225.5,1231.63,1216.03,1227.7,75170,0,75170,0
19990304,1227.7,1247.74,1227.7,1246.64,77090,0,77090,0
19990305,1246.64,1275.73,1246.64,1275.47,83490,0,83490,0
19990308,1275.47,1282.74,1271.58,1282.73,71460,0,71460,0
19990309,1282.73,1293.74,1275.11,1279.84,80370,0,80370,0
19990310,1279.84,1287.02,1275.16,1286.84,84190,0,84190,0
19990311,1286.84,1306.43,1286.84,1297.68,90480,0,90480,0
19990312,1297.68,1304.42,1289.17,1294.59,82580,0,82580,0
19990315,1294.59,1307.47,1291.03,1307.26,72720,0,72720,0
19990316,1307.26,1311.11,1302.29,1306.38,75190,0,75190,0
19990317,1306.38,1306.55,1292.63,1297.82,75230,0,75230,0
19990318,1297.82,1317.62,1294.75,1316.55,83100,0,83100,0
19990319,1316.55,1323.82,1298.92,1299.29,91470,0,91470,0
19990322,1299.29,1303.84,1294.26,1297.01,65820,0,65820,0
19990323,1297.01,1297.01,1257.46,1262.14,81130,0,81130,0
19990324,1262.14,1269.02,1256.43,1268.59,76190,0,76190,0
19990325,1268.59,1289.99,1268.59,1289.99,78420,0,78420,0
19990326,1289.99,1289.99,1277.25,1282.8,70720,0,70720,0
19990329,1282.8,1311.76,1282.8,1310.17,74790,0,74790,0
19990330,1310.17,1310.17,1295.47,1300.75,72900,0,72900,0
19990331,1300.75,1313.6,1285.87,1286.37,92430,0,92430,0
19990401,1286.37,1294.54,1282.56,1293.72,70300,0,70300,0
19990405,1293.72,1321.12,1293.72,1321.12,69580,0,69580,0
19990406,1321.12,1326.76,1311.07,1317.89,78750,0,78750,0
19990407,1317.89,1329.58,1312.59,1326.89,81640,0,81640,0
19990408,1326.89,1344.08,1321.6,1343.98,85050,0,85050,0
19990409,1343.98,1351.22,1335.24,1348.35,71610,0,71610,0
19990412,1348.35,1358.69,1333.48,1358.63,81080,0,81080,0
19990413,1358.64,1362.38,1344.03,1349.82,81090,0,81090,0
19990414,1349.82,1357.24,1326.41,1328.44,95200,0,95200,0
19990415,1328.44,1332.41,1308.38,1322.85,108980,0,108980,0
19990416,1322.86,1325.03,1311.4,1319,100230,0,100230,0
19990419,1319,1340.1,1284.48,1289.48,121440,0,121440,0
19990420,1289.48,1306.3,1284.21,1306.17,98540,0,98540,0
19990421,1306.17,1336.12,1301.84,1336.12,92000,0,92000,0
19990422,1336.12,1358.84,1336.12,1358.82,92790,0,92790,0
19990423,1358.83,1363.65,1348.45,1356.85,74490,0,74490,0
19990426,1356.85,1363.56,1353.72,1360.04,71200,0,71200,0
19990427,1360.04,1371.56,1356.55,1362.8,89170,0,89170,0
19990428,1362.8,1368.62,1348.29,1350.91,95170,0,95170,0
19990429,1350.91,1356.75,1336.81,1342.83,100360,0,100360,0
19990430,1342.83,1351.83,1314.58,1335.18,93650,0,93650,0
19990503,1335.18,1354.63,1329.01,1354.63,81140,0,81140,0
19990504,1354.63,1354.64,1330.64,1332,93310,0,93310,0
19990505,1332,1347.32,1317.44,1347.31,91350,0,91350,0
19990506,1347.31,1348.36,1322.56,1332.05,87540,0,87540,0
19990507,1332.05,1345.99,1332.05,1345,81490,0,81490,0
19990510,1345,1352.01,1334,1340.3,77330,0,77330,0
19990511,1340.3,1360,1340.3,1355.61,83610,0,83610,0
19990512,1355.61,1367.36,1333.1,1364,82550,0,82550,0
19990513,1364,1375.98,1364,1367.56,79690,0,79690,0
19990514,1367.56,1367.56,1332.63,1337.8,72780,0,72780,0
19990517,1337.8,1339.95,1321.19,1339.49,66550,0,66550,0
19990518,1339.49,1345.44,1323.46,1333.32,75340,0,75340,0
19990519,1333.32,1344.23,1327.05,1344.23,80110,0,80110,0
19990520,1344.23,1350.49,1338.83,1338.83,75220,0,75220,0
19990521,1338.83,1340.88,1326.19,1330.29,68660,0,68660,0
19990524,1330.29,1333.02,1303.53,1306.65,75470,0,75470,0
19990525,1306.65,1317.52,1284.38,1284.4,82670,0,82670,0
19990526,1284.4,1304.85,1278.43,1304.76,87080,0,87080,0
19990527,1304.76,1304.76,1277.31,1281.41,81140,0,81140,0
19990528,1281.41,1304,1281.41,1301.84,64996,0,64996,0
19990601,1301.84,1301.84,1281.44,1294.26,68380,0,68380,0
19990602,1294.26,1297.1,1277.47,1294.81,72800,0,72800,0
19990603,1294.81,1304.15,1294.2,1299.54,71960,0,71960,0
19990604,1299.54,1327.75,1299.54,1327.75,69450,0,69450,0
19990607,1327.75,1336.42,1325.89,1334.52,66430,0,66430,0
19990608,1334.52,1334.52,1312.83,1317.33,68590,0,68590,0
19990609,1317.33,1326.01,1314.73,1318.64,66200,0,66200,0
19990610,1318.64,1318.64,1293.28,1302.82,71650,0,71650,0
19990611,1302.82,1311.97,1287.88,1293.64,69820,0,69820,0
19990614,1293.64,1301.99,1292.2,1294,66940,0,66940,0
19990615,1294,1310.76,1294,1301.16,69660,0,69660,0
19990616,1301.16,1332.83,1301.16,1330.41,80680,0,80680,0
19990617,1330.41,1343.54,1322.75,1339.9,70030,0,70030,0
19990618,1339.9,1344.48,1333.52,1342.84,91450,0,91450,0
19990621,1342.84,1349.06,1337.63,1349,68660,0,68660,0
19990622,1349,1351.12,1335.52,1335.88,71650,0,71650,0
19990623,1335.87,1335.88,1322.55,1333.06,73180,0,73180,0
19990624,1333.06,1333.06,1308.47,1315.78,69040,0,69040,0
19990625,1315.78,1329.13,1312.64,1315.31,62346,0,62346,0
19990628,1315.31,1333.68,1315.31,1331.35,65291,0,65291,0
19990629,1331.35,1351.51,1328.4,1351.45,82010,0,82010,0
19990630,1351.45,1372.93,1338.78,1372.71,111700,0,111700,0
19990701,1372.71,1382.8,1360.8,1380.96,84340,0,84340,0
19990702,1380.96,1391.22,1379.57,1391.22,61357,0,61357,0
19990706,1391.22,1405.29,1387.08,1388.12,72290,0,72290,0
19990707,1388.12,1395.88,1384.95,1395.86,79120,0,79120,0
19990708,1395.86,1403.25,1386.69,1394.42,83060,0,83060,0
19990709,1394.42,1403.28,1394.42,1403.28,70100,0,70100,0
19990712,1403.28,1406.82,1394.7,1399.1,68530,0,68530,0
19990713,1399.1,1399.1,1386.84,1393.56,73600,0,73600,0
19990714,1393.56,1400.05,1386.51,1398.17,75610,0,75610,0
19990715,1398.17,1409.84,1398.17,1409.62,81880,0,81880,0
19990716,1409.62,1418.78,1407.07,1418.78,71410,0,71410,0
19990719,1418.78,1420.33,1404.56,1407.65,64233,0,64233,0
19990720,1407.65,1407.65,1375.15,1377.1,75480,0,75480,0
19990721,1377.1,1386.66,1372.63,1379.29,78550,0,78550,0
19990722,1379.29,1379.29,1353.98,1360.97,77170,0,77170,0
19990723,1360.97,1367.41,1349.91,1356.94,63058,0,63058,0
19990726,1356.94,1358.61,1346.2,1347.76,61345,0,61345,0
19990727,1347.75,1368.7,1347.75,1362.84,72380,0,72380,0
19990728,1362.84,1370.53,1355.54,1365.4,69090,0,69090,0
19990729,1365.4,1365.4,1332.82,1341.03,77010,0,77010,0
